account,total_pnl,win_rate,total_volume,num_trades,avg_leverage,pnl_quartile,volume_quartile
0x083384f897ee0f19899168e3b1bec365f52a9012,965588.745995,0.4219120336234325,40465537.26752,2486,1.0,Top,Very High Vol
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,14102.674084000002,0.3177862471989648,2406983.222701117,1192,1.0,Low,High Vol
0x271b280974205ca63b716753467d5a371de622ab,208.81746,0.75,158123.95074,4,1.0,Bottom,Low Vol
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,58534.883527,0.4755107181978046,1019880.0293593474,2737,1.0,Top,Med Vol
0x2c229d22b100a7beb69122eed721cee9b24011dd,43040.784276,0.4328309135180174,1101739.910653,378,1.0,High,Med Vol
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,229.32172699999998,0.0962962962962963,47418.256424477884,51,1.0,Bottom,Low Vol
0x39cef799f8b69da1995852eea189df24eb5cae3c,-4320.315052000001,0.29945054945054944,2076455.9006,297,1.0,Bottom,High Vol
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,1536.976938,0.3652777777777778,218221.361242,44,1.0,Bottom,Low Vol
0x420ab45e0bd8863569a5efbb9c05d91f40624641,1762.46,0.5,547834.75345,55,1.0,Low,Med Vol
0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,0.0,3.2889726217232997,6,1.0,Bottom,Low Vol
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,15065.117094,0.3184582024093811,1234374.248609,2338,1.0,High,Med Vol
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,444.205198,0.125,3081123.8254299997,301,1.0,Bottom,High Vol
0x4f93fead39b70a1824f981a54d4e55b278e9f760,38868.839491,0.2830318417068626,27217544.555999566,1785,1.0,High,Very High Vol
0x513b8629fe877bb581bf244e326a047b249c4ff1,60544.304874,0.14346504559270518,8130164.80245,522,1.0,Top,Very High Vol
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2118.454577,0.4214885954381753,133062.924754,145,1.0,Low,Low Vol
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,0.0,0.0,1631350.0,141,1.0,Bottom,High Vol
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,197294.93561,0.19288856304985336,733289.7916,283,1.0,Top,Med Vol
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,142583.699257,0.6934013697783242,8577342.578409,2312,1.0,Top,Very High Vol
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,3039.365339,0.5523504273504274,147660.85686,45,1.0,Low,Low Vol
0x8170715b3b381dffb7062c0298972d4727a0a63b,38304.27852,0.3573262145094724,849925.6949400001,439,1.0,High,Med Vol
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,11022.64051,0.06602968419195483,6894240.609998999,501,1.0,Low,High Vol
0x8477e447846c758f5a675856001ea72298fd9cb5,-2648.4247579999987,0.3124998779060554,2462496.905758683,2819,1.0,Bottom,High Vol
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,12245.905048999999,0.4437869822485207,400644.02538,169,1.0,Low,Low Vol
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,3650.6762020000006,0.2941096461786057,3049425.144103,1697,1.0,Low,High Vol
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,27717.904637,0.33178386540120797,598648.7669007033,261,1.0,High,Med Vol
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,20925.513222,0.1810344827586207,796233.4312940716,211,1.0,High,Med Vol
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2075.01524,0.53125,356025.96098,14,1.0,Low,Low Vol
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1478494.69111,0.2853022356292465,26614486.95684207,5220,1.0,Top,Very High Vol
0xb899e522b5715391ae1d4f137653e7906c5e2115,40270.812285,0.3470430107526882,7341419.23542,340,1.0,High,Very High Vol
0xbaaaf6571ab7d571043ff1e313a9609a10637864,201353.921589,0.6374499103924609,11638636.33518,2562,1.0,Top,Very High Vol
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,45099.96815900001,0.21095444447371423,6016755.028342,794,1.0,High,High Vol
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,205652.297237,0.5075302187745421,10516708.54845,5715,1.0,Top,Very High Vol
